"model_id","dependent_variable","model_type","controls","term","estimate","robust_se","statistic","p_value","n","stars"
"(1)","Risk_Dummy","Logit","No","(Intercept)",-2.09211179348208,0.0776354347171435,-26.9478982259129,6.03717676789896e-160,14687,"***"
"(1)","Risk_Dummy","Logit","No","childhealth",-0.0493270049903552,0.027702268631432,-1.78061247064751,0.0749757810991141,14687,"*"
"(2)","Risk_Dummy","Logit","Yes","(Intercept)",1.3298851194872,0.251083340036031,5.29658845264827,1.17986199015341e-07,14686,"***"
"(2)","Risk_Dummy","Logit","Yes","childhealth",-0.0303678037068646,0.0282997019883428,-1.07307856879107,0.283235865742176,14686,""
"(2)","Risk_Dummy","Logit","Yes","age",-0.0660710785183971,0.00346500427693937,-19.0681087922805,4.64813381697267e-81,14686,"***"
"(2)","Risk_Dummy","Logit","Yes","gender",0.793367478156968,0.0589066275157284,13.4682210069679,2.40593139121614e-41,14686,"***"
"(2)","Risk_Dummy","Logit","Yes","hukou",0.547177586160129,0.0675154043938757,8.10448505896476,5.29693786143823e-16,14686,"***"
"(2)","Risk_Dummy","Logit","Yes","marriage",-0.0179511035282297,0.0998213936260751,-0.179832227102273,0.857284282475143,14686,""
"(3)","Risk_Ratio","OLS","No","(Intercept)",0.057401836878378,0.00463039263172061,12.3967536759508,4.07784806906452e-35,14687,"***"
"(3)","Risk_Ratio","OLS","No","childhealth",-0.00114846994431512,0.00162777962238379,-0.705543876162579,0.480483028397935,14687,""
"(4)","Risk_Ratio","OLS","Yes","(Intercept)",0.231074681310772,0.0136534686648947,16.9242473822716,1.19565736565449e-63,14686,"***"
"(4)","Risk_Ratio","OLS","Yes","childhealth",-0.000278472645474461,0.00161198111169968,-0.172751804257085,0.862848903551393,14686,""
"(4)","Risk_Ratio","OLS","Yes","age",-0.0029498905408247,0.000166937601631208,-17.6706177158426,3.66891673353383e-69,14686,"***"
"(4)","Risk_Ratio","OLS","Yes","gender",0.0323917133635744,0.00331847565191036,9.76102185499759,1.93638802102032e-22,14686,"***"
"(4)","Risk_Ratio","OLS","Yes","hukou",0.022262917881673,0.00451123501592645,4.93499403224971,8.10321296147015e-07,14686,"***"
"(4)","Risk_Ratio","OLS","Yes","marriage",-0.0119400083229238,0.0044379935422975,-2.69040687173748,0.00714457008701078,14686,"***"
